date,race_id,race_name,bet_type,umaban,amount,payout,hit,ev,prob
2024-01-06,202406010109,迎春ステークス(3勝),quinella,6-7,200,0,False,1.16,0.078
2024-01-06,202455010601,C2ー23組,quinella,3-10,200,0,False,1.11,0.067
2024-01-07,202454010701,林颯一郎三十路特別(3歳),quinella,1-7,200,0,False,1.09,0.075
2024-01-07,202454010709,小寒特別(C2),quinella,5-2,200,1580,True,1.05,0.07
2024-01-08,202408010310,寿ステークス(3勝),quinella,3-8,200,0,False,1.04,0.054
2024-01-20,202408010604,3歳1勝クラス,quinella,5-2,200,0,False,1.13,0.078
2024-02-03,202405010304,3歳1勝クラス,quinella,7-6,500,12350,True,1.85,0.082
2024-02-04,202405010407,4歳以上2勝クラス,quinella,6-5,500,2500,True,1.62,0.076
2024-02-10,202410020104,障害4歳以上未勝利,quinella,10-3,400,0,False,1.4,0.071
2024-02-25,202406020209,デイジー賞(1勝),quinella,1-13,200,0,False,1.01,0.056
2024-03-03,202409010407,4歳以上1勝クラス,quinella,6-3,500,0,False,3.62,0.073
2024-03-09,202409010508,第26回阪神スプリングJ(JGII),quinella,4-8,200,0,False,1.01,0.071
2024-03-17,202409010804,障害4歳以上未勝利,quinella,1-2,200,0,False,1.12,0.075
2024-03-23,202409020109,君子蘭賞(1勝),quinella,6-5,200,0,False,1.04,0.075
2024-03-24,202406030208,ミモザ賞(1勝),quinella,3-6,200,1300,True,1.11,0.075
2024-03-30,202409020306,4歳以上1勝クラス,quinella,8-10,200,0,False,1.09,0.067
2024-03-30,202436033001,C2,quinella,6-3,500,0,False,1.67,0.078
2024-03-30,202436033002,C2,quinella,1-5,200,0,False,1.15,0.076
2024-03-31,202406030404,障害4歳以上未勝利,quinella,11-2,500,0,False,1.82,0.071
2024-03-31,202436033108,C1,quinella,6-9,200,0,False,1.03,0.072
2024-04-13,202406030711,第26回中山グランドジャンプ(JGI),quinella,4-8,500,0,False,1.66,0.069
2024-04-13,202409020712,4歳以上2勝クラス,quinella,9-3,200,0,False,1.03,0.066
2024-04-28,202405020411,スイートピーS(L),quinella,12-2,200,0,False,1.03,0.06
2024-05-04,202408030504,3歳未勝利,quinella,9-3,200,0,False,1.07,0.054
